question,initial_average,final_average,change
V05. Single-use plastics should be significantly restricted.,1.4,1.4763551484946,0.07635514849460012
"V06. Water conservation should be a priority in households, institutions, and industries.",1.4941176470588236,1.6378699024651597,0.14375225540633618
V07. Protecting biodiversity is essential for long-term human well-being.,1.4941176470588236,1.6496500083007246,0.15553236124190106
V08. Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,1.2941176470588236,1.454180282561595,0.16006263550277144
"V09. Products should be designed to encourage reuse, repair, and recycling.",1.6,1.7411537159344979,0.14115371593449777
V10. Consumers should consider environmental impact when purchasing products.,1.035294117647059,1.2568163790661449,0.22152226141908593
V11. Technological innovation is essential for addressing environmental challenges.,1.3058823529411765,1.4937096460219403,0.18782729308076385
V12. Environmental sustainability should be integrated into higher education curricula.,1.1058823529411765,1.3484364029356308,0.2425540499944543
V13. Companies should be held accountable for the environmental impacts of their activities.,1.6705882352941177,1.7724126205869897,0.10182438529287197
V14. International cooperation is necessary to effectively address environmental challenges.,1.5529411764705883,1.6940151812662099,0.1410740047956216
V15. Current generations have a responsibility to protect natural resources for future generations.,1.5058823529411764,1.6414693939696934,0.13558704102851693
