response_id,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15
22,2.0,5.0,3.0,5.0,3.0,5.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,2.0,3.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0
24,4.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,,5.0,3.0,3.0,2.0,5.0,5.0,3.0,2.0,1.0,5.0,1.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,,4.0,4.0,4.0,3.0,4.0,,4.0,5.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,2.0,5.0,5.0,4.0
26,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,1.0,5.0,3.0,4.0,5.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0
29,3.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
30,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4.0,3.0,3.0,5.0,5.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0
32,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,1.0,2.0,5.0,4.0,3.0,,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
35,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
36,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,1.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0
37,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
38,4.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0
39,3.0,3.0,2.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
41,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
42,4.0,4.0,,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,2.0,2.0,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0
43,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,1.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
45,3.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0
46,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0
48,4.0,2.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
49,3.0,2.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,1.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0
50,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0
52,4.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0
53,1.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0
54,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
55,2.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
56,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,1.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0
57,1.0,1.0,5.0,4.0,2.0,4.0,4.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0
58,4.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,2.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,5.0,1.0,5.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0
59,5.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,4.0,1.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0
61,1.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0
62,4.0,2.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0,2.0,5.0,5.0,1.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0
63,5.0,3.0,5.0,3.0,4.0,5.0,3.0,1.0,3.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0
64,5.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,2.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0
65,3.0,4.0,5.0,5.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0
66,4.0,2.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,1.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
67,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
69,4.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,,4.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0
70,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,3.0,1.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
72,3.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,5.0,2.0,2.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
74,2.0,4.0,5.0,4.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,3.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
77,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4.0,3.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,,,,,,,,,,,,,,,
80,4.0,5.0,4.0,4.0,3.0,5.0,5.0,1.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,2.0,4.0,1.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0
81,4.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,5.0,5.0,4.0,,5.0,4.0,4.0,2.0,1.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
82,3.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
83,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,2.0,5.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0
84,1.0,4.0,,4.0,2.0,5.0,1.0,2.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,4.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
85,3.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,5.0,2.0,1.0,5.0,4.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0
