code,theme,text,n_answers,mean,sd,share_agree,share_neutral,share_disagree,label,degree
S08,S,Diverse teams generally make better decisions than homogeneous teams.,86,3.919,1.008,0.6628,0.2674,0.06977,mixed,1
S09,S,Universities should promote an inclusive environment where different viewpoints can be discussed respectfully.,85,4.471,0.5894,0.9529,0.04706,0,consensus,26
S10,S,Scientific evidence should play an important role in public policy decisions.,84,4.25,0.726,0.8571,0.131,0.0119,consensus,10
S11,S,People should be free to express differing opinions as long as they do not promote harm or discrimination.,87,4.552,0.6054,0.9655,0.02299,0.01149,consensus,10
S12,S,Young people should actively participate in addressing societal challenges.,86,4.256,0.7849,0.8605,0.1047,0.03488,consensus,11
S13,S,Critical evaluation of online information should be taught as a core educational skill.,87,4.264,0.7227,0.8621,0.1264,0.01149,consensus,17
S14,S,Leaders should prioritize ethical decision-making even when it reduces short-term gains.,84,4.298,0.7409,0.8571,0.131,0.0119,consensus,21
S15,S,Building public trust is essential for responsible adoption of emerging technologies.,86,4.244,0.8669,0.8605,0.1047,0.03488,consensus,17
V01,V,Climate change requires immediate global action.,85,4.518,0.6289,0.9294,0.07059,0,consensus,8
V02,V,Governments should prioritize investment in renewable energy over fossil fuels.,85,4.435,0.7311,0.9176,0.07059,0.01176,consensus,23
V03,V,Individuals should actively reduce their personal energy consumption.,86,3.965,0.9261,0.7326,0.1977,0.06977,mixed,11
V04,V,Public transportation and non-motorized transport should be promoted even if they require additional public investment.,86,4.384,0.7222,0.8837,0.1047,0.01163,consensus,14
V05,V,Single-use plastics should be significantly restricted.,86,4.372,0.7977,0.907,0.05814,0.03488,consensus,15
V06,V,"Water conservation should be a priority in households, institutions, and industries.",84,4.512,0.591,0.9524,0.04762,0,consensus,9
V07,V,Protecting biodiversity is essential for long-term human well-being.,85,4.494,0.6835,0.9412,0.03529,0.02353,consensus,25
V08,V,Universities should adopt environmentally sustainable campus practices even if implementation costs increase.,85,4.294,0.7372,0.8824,0.09412,0.02353,consensus,21
V09,V,"Products should be designed to encourage reuse, repair, and recycling.",85,4.6,0.7105,0.9412,0.02353,0.03529,consensus,24
V10,V,Consumers should consider environmental impact when purchasing products.,85,4.035,0.8653,0.7529,0.2118,0.03529,mixed,21
V11,V,Technological innovation is essential for addressing environmental challenges.,84,4.321,0.697,0.8929,0.09524,0.0119,consensus,11
V12,V,Environmental sustainability should be integrated into higher education curricula.,84,4.119,0.9236,0.8214,0.119,0.05952,mixed,19
V13,V,Companies should be held accountable for the environmental impacts of their activities.,85,4.671,0.5646,0.9765,0.01176,0.01176,consensus,18
V14,V,International cooperation is necessary to effectively address environmental challenges.,85,4.553,0.6456,0.9412,0.04706,0.01176,consensus,21
V15,V,Current generations have a responsibility to protect natural resources for future generations.,85,4.506,0.6291,0.9529,0.03529,0.01176,consensus,18
